1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
not applicable,not applicable,not applicable,L2-SR-RQ-3185,Chlorophyll-a fluorescence,[DCN 1341-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/de7bff13-c7a6-4e50-8a13-8c9e52c9b83f/1341-00530_Data_Product_SPEC_CHLAFLO_OOI.pdf],0,Fluorometric Chlorophyll-a Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)",not applicable,not applicable,not applicable,not applicable,counts,CHLAFLO,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",DCN 1341-00530,CHLAFLO_L1,"[""FLORD"", ""FLORT""]",L1,Fluorometric Chlorophyll-a Concentration,Water Column,ug/L
not applicable,not applicable,not applicable,L2-SR-RQ-3185,Chlorophyll-a fluorescence,[DCN 1341-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/de7bff13-c7a6-4e50-8a13-8c9e52c9b83f/1341-00530_Data_Product_SPEC_CHLAFLO_OOI.pdf],0,Fluorometric Chlorophyll-a Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00531|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f06ae944-8f55-40c0-a410-3af93cc9f2c6/1342-00531_Data_Processing_Flow_FLORD_OOI.pdf] (FLORD), [DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf] (FLORT)",not applicable,not applicable,not applicable,not applicable,counts,CHLAFLO,"DCN 1342-00531 (FLORD), DCN 1342-00530 (FLORT)",DCN 1341-00530,CHLAFLO_L0,"[""FLORD"", ""FLORT""]",L0,Fluorometric Chlorophyll-a Concentration,Water Column,counts
not applicable,not applicable,not applicable,L2-SR-RQ-3032,flux of CO2,[DCN 1341-00270|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/f13cc476-0dcf-4d5c-a0d6-2738ba48b86f/1341-00270_Data_Product_SPEC_CO2FLUX_OOI.pdf],2,Flux of CO2 from the Ocean into the Atmosphere,not applicable,applicable,not applicable,not applicable,not applicable,,[DCN 1342-00260|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/057a2c02-c909-43c8-b0ef-102b4ad4f67e/1342-00260_PCO2A_Data_Processing_Flow_OOI.pdf],not applicable,applicable,applicable,not applicable,mol m-2 s-1,CO2FLUX,DCN 1342-00260,DCN 1341-00270,CO2FLUX_L2,"[""PCO2A""]",L2,Flux of CO2 from the Ocean into the Atmosphere,Air-Sea Interface,mol m-2 s-1
,,,,,,,,,,,,,,,,,,,,FRSHFLX,,,FRSHFLX_L2,"[""METBK""]",L2,Freshwater Flux,,m3/s
not applicable,not applicable,not applicable,L2-SR-RQ-3804,"Imagery, HD Video",DCN 1341-00840,1,HD Video Image,not applicable,not applicable,not applicable,not applicable,not applicable,These are not considered data to be archived - only live streaming,n/a,not applicable,not applicable,not applicable,not applicable,Lossless compression Image File,HDVIDEO,n/a,DCN 1341-00840,HDVIDEO_L1,"[""CAMHD""]",L1,HD Video Image,Seafloor/Crust,Lossless compression Image File
not applicable,not applicable,not applicable,L2-SR-RQ-3912,Horizontal Electrical Field,DCN 1341-00580,0,Horizontal Electric Fields,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IES_HEF,DCN 1342-00560,DCN 1341-00580,IES_HEF_L0,"[""HPIES""]",L0,Horizontal Electric Fields,Water Column,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3912,Horizontal Electrical Field,DCN 1341-00580,0,Horizontal Electric Fields,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IES_HEF,DCN 1342-00560,DCN 1341-00580,IES_HEF_L1,"[""HPIES""]",L1,Horizontal Electric Fields,Water Column,micro volt/cm
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00210,0,Hydrogen Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHC,DCN 1342-00120,DCN 1341-00210,THSPHHC_L0,"[""THSPH""]",L0,Hydrogen Concentration,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00210,0,Hydrogen Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHC,DCN 1342-00120,DCN 1341-00210,THSPHHC_L2,"[""THSPH""]",L2,Hydrogen Concentration,Seafloor/Crust,Moles/kg
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00200,0,Hydrogen Sulfide Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHHS,DCN 1342-00120,DCN 1341-00200,THSPHHS_L0,"[""THSPH""]",L0,Hydrogen Sulfide Concentration,Seafloor/Crust,V
